name,author,artwork,game_code,license,like_count,description,top_5_comments,game_url
"""The Zone""",squishyam,https://www.lexaloffle.com/bbs/preview/pico8_weyubomopo-0.png,weyubomopo-0,CC4-BY-NC-SA (https://creativecommons.org/licenses/by-nc-sa/4.0/),1,PICO-1K Jam 2026,,https://www.lexaloffle.com/bbs/?tid=159194
Code Golf Snake,bbb,https://www.lexaloffle.com/bbs/preview/pico8_codegolfsnake-0.png,codegolfsnake-0,CC4-BY-NC-SA (https://creativecommons.org/licenses/by-nc-sa/4.0/),1,"I wanted to make the game snake in as few tokens as possible, and got it down to 192! Some strategies I used: No cls(), instead the tiles around the snake are cleared. Condensed equations (x=2,y=3 became x,y=2,3) Some jank (spr(,x,y) == spr(0,x,y)) If you can optimize it more please let me know, this really was as condensed as I could get it. Some areas I feel probably could be done in less tokens are the controls code and some of the nested if statements. Lmk what you think!",dredds: flr(i/16) (five tokens) can be i\16 (3 tokens),https://www.lexaloffle.com/bbs/?tid=159193
FlappyBird,NinjaLetter2160,https://www.lexaloffle.com/bbs/preview/pico8_jefoyezuhe-0.png,jefoyezuhe-0,CC4-BY-NC-SA (https://creativecommons.org/licenses/by-nc-sa/4.0/),0,"Flappy Bird (PICO-8) A tiny retro remake of the classic one-button flyer, built entirely from 8x8 tiles. This is my first game, so go easy on me! Tap the X or O button to make the bird flap — let go and gravity takes over fast, so timing is everything. Weave through the gaps in the pipes without clipping the top, bottom, or floor to rack up your score. Miss one, and it's game over — press the button again to jump right back in. How to play: X or O button — flap / start / retry Each pipe you clear adds 1 to your score Touching a pipe, the ceiling, or the floor ends the run",,https://www.lexaloffle.com/bbs/?tid=159182
pico pong,chimuenico,https://www.lexaloffle.com/bbs/preview/pico8_fkesazuja-0.png,fkesazuja-0,CC4-BY-NC-SA (https://creativecommons.org/licenses/by-nc-sa/4.0/),0,,,https://www.lexaloffle.com/bbs/?tid=159181
Bouncing ball,Alkhan,https://www.lexaloffle.com/bbs/preview/pico8_bouncingballalkhan-1.png,bouncingballalkhan-1,CC4-BY-NC-SA (https://creativecommons.org/licenses/by-nc-sa/4.0/),2,A recreation of Bouncing Ball (1953) — one of the earliest known real-time graphical computer games.,,https://www.lexaloffle.com/bbs/?tid=159173
Retro Rewind Volume 1,mabbees,https://www.lexaloffle.com/bbs/preview/pico8_retro_rewind_vol1-4.png,retro_rewind_vol1-4,No License,3,"What's this? A mixtape from your friends?? Amazing! .✧˖°.Track List.✧˖°. Here Beside You Before You Go Isekai Strawberry Crepes Forever .✧˖°.About.✧˖°. Retro Rewind is part of the Tomodachi 8-in-1 collection, along with Revolutionary Girls and Spooky Stylin' . You can get the full bundle on itch https://illuminesce.itch.io/tomodachi-8in1 , which even contains some chapters not yet released on the BBS! (or you can wait... they'll be here eventually) Also, if you like my music, you can get it on my Bandcamp https://mabbees.bandcamp.com/album/retro-rewind-1","Verb: Wouldn't run, but removing the stop() on line 21, tab 0 fixes it for me :) || mabbees: @Verb - thanks for the catch! Somehow missed that before I hit publish. New version is up, and seems to work.",https://www.lexaloffle.com/bbs/?tid=159156
Russian checkers,Alkhan,https://www.lexaloffle.com/bbs/preview/pico8_russiancheckersalkhan-1.png,russiancheckersalkhan-1,CC4-BY-NC-SA (https://creativecommons.org/licenses/by-nc-sa/4.0/),4,Russian checkers — a classic checkers variant with flying kings and mandatory captures.,,https://www.lexaloffle.com/bbs/?tid=159152
"""Shadow""",squishyam,https://www.lexaloffle.com/bbs/preview/pico8_mifanayipu-1.png,mifanayipu-1,CC4-BY-NC-SA (https://creativecommons.org/licenses/by-nc-sa/4.0/),3,"Submission for the 2026 National Film and Television School ""Game Poem"" Jam, September 7-8 2026 A few tiles are from the excellent Canari 8BIT TopDown Pack by Johan Vinet/Canari Games All other art/music/programming by me",,https://www.lexaloffle.com/bbs/?tid=159149
pilatro_35,Jabz,https://www.lexaloffle.com/bbs/preview/pico8_pilatro_35-2.png,pilatro_35-2,No License,3,"Updates! This is my newest update to the Pico8 Balatro port. In this update I've added: Planet cards (hand levels) +17 new Joker cards Seudo Tarot cards (I'm not in love with how I've implemented tarot cards for the 8ball, will fix later) Controls: Mouse: select/drag | Holding Right click shows descriptions X: play/buy C: discard/sell Rules: Basically the same as base Balatro with some exclusion due to pico8 limitation + me probably being dumb. Core Game Structure Antes and Blinds: Each Ante consists of three rounds called Blinds: a Small Blind , a Big Blind , and a Boss Blind . Winning a Run: Successfully clear all 8 Antes to win the standard run. Turn and Hand Rules Drawing & Playing: You start round drawing 8 cards. You can play up to 5 cards from your hand to make a valid poker hand. Discards: You can discard up to 5 unwanted cards a limited number of times per round to try and draw better combinations. You cannot both play and discard on the same turn. Scoring Mechanics Scores are calculated using a two-part math system: Chips x Mult (Chips are base points from the cards, multiplied by your multiplier). Cards: Base values of played cards add to your Chips. Left-to-Right Order: Scoring resolves from left to right, meaning card placement and the positioning of your Jokers matter significantly for maximizing addition and multiplication. The Shop & Enhancements After beating a blind, you enter the Shop to spend money earned from remaining hands. interest, and base income. Jokers: Up to 5 special modifier cards that drastically break rules and boost chips or multipliers. Planet Cards: Upgrade the base level, chips, and mult of specific poker hands. Tarot & Spectral Cards: Modify, destroy, duplicate, or change the suits and enhancements of individual playing cards in your deck. NOTE: current version of cart only sort of implements Tarot Cards with 8ball joker and has no implementation of Spectral Cards . Though you can add cards to your deck with bonuses through the Pack in the shop. Currently these are all of the 35 available Joker cards: NOTE: There are likely to be many bugs with jokers please let me know what you find?",,https://www.lexaloffle.com/bbs/?tid=159145
scoundrel-8 (prototype),Red_Right_Hand_,https://www.lexaloffle.com/bbs/preview/pico8_scoundreleight-5.png,scoundreleight-5,No License,1,Pixel-art Scoundrel . A game prototype serving as a foundation for future dungeon crawlers I plan to create using the same underlying mechanics as Scoundrel .,,https://www.lexaloffle.com/bbs/?tid=159144
